id,stack,category,rule,description,example,tags
tailwind-component-variants,tailwind,pattern,Use cva() for component variants,"Use class-variance-authority for components with multiple visual variants.","const buttonVariants = cva('base', { variants: { size: { sm: '...', md: '...' } } })","tailwind cva variants component"
tailwind-group-peer,tailwind,interaction,Use group and peer for dependent styles,"Parent hover affects children (group) or sibling state affects sibling (peer).","<div class='group'><icon class='group-hover:text-primary' /></div>","tailwind group peer interactive hover"
shadcn-use-existing-first,shadcn,components,Always use installed shadcn components,"Before creating a new component check if shadcn/ui already has it. 47 components installed.","Use <Dialog> not custom modal. <Select> not custom dropdown.","shadcn components existing first reuse"
shadcn-composition-pattern,shadcn,components,Compose shadcn primitives for custom components,"Build complex components by composing shadcn primitives rather than from scratch.","<Card><CardHeader><CardTitle>...</CardTitle></CardHeader></Card>","shadcn composition primitives build"
shadcn-form-hook-form,shadcn,forms,Use Form component with react-hook-form,"Shadcn Form integrates react-hook-form. Use FormField FormControl FormMessage.","<FormField control={form.control} name='email' render={...} />","shadcn form react-hook-form validation"
shadcn-toast-sonner,shadcn,feedback,Use Sonner for toast notifications,"Project uses Sonner (sonner package) for toasts. Use toast.success() toast.error() etc.","import { toast } from 'sonner'; toast.success('Guardado')","shadcn sonner toast notification"
shadcn-command-search,shadcn,search,Use Command for search/autocomplete,"For combobox or search-with-suggestions use shadcn Command component.","<Command><CommandInput /><CommandList><CommandItem /></CommandList></Command>","shadcn command search autocomplete combobox"
shadcn-sheet-side-panel,shadcn,layout,Use Sheet for side panels and drawers,"For slide-in panels from the side use shadcn Sheet not custom drawers.","<Sheet><SheetTrigger /><SheetContent side='right' /></Sheet>","shadcn sheet drawer side panel"
shadcn-dialog-modal,shadcn,layout,Use Dialog for modals,"For modals use shadcn Dialog. Use AlertDialog for destructive confirmations.","<AlertDialog> for delete confirmations. <Dialog> for forms/content.","shadcn dialog modal alert destructive"
shadcn-skeleton-loading,shadcn,feedback,Use Skeleton for loading states,"Replace spinners with Skeleton component for content-shaped loading placeholders.","<Skeleton className='h-4 w-[200px]' />","shadcn skeleton loading placeholder"
shadcn-badge-status,shadcn,data-display,Use Badge for status indicators,"For status labels chips tags use shadcn Badge with semantic variants.","<Badge variant='destructive'>Vencido</Badge>","shadcn badge status chip label"
shadcn-table-data,shadcn,data-display,Use Table for data grids,"For structured data use shadcn Table with proper thead/tbody/tfoot. Add sorting via column headers.","<Table><TableHeader><TableRow><TableHead>...</TableHead>","shadcn table data grid sorting"
shadcn-tabs-content,shadcn,navigation,Use Tabs for content switching,"For multi-section views use shadcn Tabs. Don't build custom tab implementations.","<Tabs defaultValue='tab1'><TabsList><TabsTrigger value='tab1'>","shadcn tabs navigation content switching"
shadcn-popover-dropdown,shadcn,overlay,Use Popover for rich dropdowns,"For dropdowns with custom content (not simple select) use Popover.","<Popover><PopoverTrigger /><PopoverContent /></Popover>","shadcn popover dropdown overlay rich"
web-focus-visible,web,accessibility,Use focus-visible not focus for focus styles,"focus-visible only shows focus ring on keyboard navigation not mouse click.","className='focus-visible:ring-2 focus-visible:ring-primary'","web accessibility focus keyboard navigation"
web-aria-live-regions,web,accessibility,Use aria-live for dynamic content announcements,"Announce dynamic content updates to screen readers with aria-live regions.","<div aria-live='polite' aria-atomic='true'>{statusMessage}</div>","web accessibility aria-live screen reader"
web-semantic-html,web,accessibility,Use semantic HTML elements,"Use button for clicks nav for navigation main article section aside etc.","<button> not <div onClick>. <nav> not <div class='nav'>","web semantic html accessibility"
web-skip-navigation,web,accessibility,Add skip to main content link,"First focusable element should be a skip link for keyboard users.","<a href='#main' className='sr-only focus:not-sr-only'>Skip to main</a>","web skip navigation keyboard accessibility"
web-loading-states,web,ux,Always handle loading empty and error states,"Every async data fetch needs loading skeleton empty state and error state.","if (loading) return <Skeleton>; if (!data.length) return <EmptyState>","web loading empty error states ux"
web-optimistic-ui,web,ux,Implement optimistic UI for mutations,"Update UI immediately on user action then confirm with server. Rollback on error.","Toggle checkbox immediately then call API in background","web optimistic ui instant feedback"
web-debounce-search,web,performance,Debounce search inputs and API calls,"Add 300-500ms debounce to search inputs to prevent excessive API calls.","useDebounce(searchValue, 300) then useEffect([debouncedValue])","web debounce search performance input"
web-virtual-scroll,web,performance,Virtualize long lists,"For lists >50 items use react-window or @tanstack/virtual to virtualize.","Only renders visible items not all 1000+ rows","web virtualization long list performance"
web-image-optimization,web,performance,Use optimized image formats and lazy loading,"Use WebP/AVIF formats declare width/height to prevent CLS use loading='lazy' for below fold.","<img src='photo.webp' width={400} height={300} loading='lazy' />","web image optimization performance cls lazy"
web-responsive-design,web,layout,Mobile-first responsive breakpoints,"Design mobile first then add responsive modifiers sm: md: lg: xl:","className='grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3'","web responsive mobile-first breakpoints layout"
web-container-queries,web,layout,Use container queries for component-level responsiveness,"For components that respond to their container (not viewport) use @container.","@container (min-width: 400px) { .card { flex-direction: row } }","web container queries responsive components"
web-css-variables,web,theming,Define design tokens as CSS custom properties,"Use :root CSS custom properties for all design tokens colors spacing etc.","--primary: 210 100% 20%; used as hsl(var(--primary))","web css variables custom properties tokens theming"
react-error-boundary,react,resilience,Wrap key sections in Error Boundaries,"Use React Error Boundaries to gracefully handle runtime errors without crashing the whole app.","<ErrorBoundary fallback={<ErrorCard />}><RiskyComponent /></ErrorBoundary>","react error boundary resilience fallback"
react-transition-group,react,animation,Use CSS transitions not JS animations when possible,"CSS transitions are GPU-accelerated. Use Tailwind transition classes for simple animations.","className='transition-all duration-200 ease-out'","react css transition animation performance"
shadcn-cn-classname-pattern,shadcn,pattern,Export className prop in all custom components,"Always accept and forward className prop in custom components for composability.","function MyCard({ className, ...props }) { return <div className={cn('base', className)} />","shadcn className prop composable pattern"
