id,name,category,description,recommended_style,recommended_palette,tags
government-portal,"Government Portal",government,"Portal gubernamental trámites ciudadanos formularios estado solicitudes.",corporate-minimal,government-navy-official,"gobierno tramites ciudadanos formularios portal"
customs-broker,"Customs Broker Platform",logistics,"Plataforma para agentes aduanales pedimentos importación exportación aranceles.",corporate-minimal,compliance-dark-authority,"aduana agente aduanal pedimento importacion exportacion arancel"
trade-compliance,"Trade Compliance",compliance,"Cumplimiento de comercio internacional regulaciones aranceles clasificación arancelaria.",corporate-minimal,calendario-compliance-navy,"comercio exterior cumplimiento regulaciones aranceles clasificacion"
supply-chain,"Supply Chain Management",logistics,"Gestión de cadena de suministro proveedores entrega tracking.",corporate-minimal,logistics-orange-action,"cadena suministro proveedores entrega tracking supply chain"
pos-system,"Point of Sale System",retail,"Sistema de punto de venta retail caja transacciones descuentos clientes.",flat-design,ecommerce-orange-energy,"pos caja retail transacciones descuentos ventas"
booking-platform,"Booking & Reservation Platform",hospitality,"Plataforma de reservas hoteles tours actividades disponibilidad pagos.",flat-design,saas-emerald-growth,"reservas hoteles tours actividades disponibilidad booking"
survey-tool,"Survey & Feedback Tool",research,"Herramienta de encuestas formularios NPS análisis resultados.",flat-design,saas-slate-minimal,"encuestas formularios nps feedback resultados"
support-helpdesk,"Support & Helpdesk",customer-service,"Sistema de soporte tickets helpdesk SLA base de conocimiento chat.",flat-design,saas-emerald-growth,"soporte helpdesk tickets sla chat customer service"
dev-tools-dashboard,"Developer Tools Dashboard",developer,"Dashboard para herramientas de desarrollo APIs logs métricas deployments.",dark-mode,dark-admin-charcoal,"developer tools api logs metricas deployments tech"
monitoring-platform,"System Monitoring Platform",devops,"Plataforma de monitoreo sistemas uptime alertas logs métricas infraestructura.",dark-mode,dark-admin-charcoal,"monitoring uptime alertas logs metricas infraestructura devops"
ai-saas-platform,"AI SaaS Platform",ai,"Plataforma SaaS con inteligencia artificial prompts generación análisis automation.",aurora-ui,landing-dark-startup,"ai inteligencia artificial prompts generacion analisis automation saas"
