id,name,description,sections,cta_strategy,use_case,tags
use-case-tabs,"Use Case Tabs","Tabs o toggle por tipo de usuario (Admin/Consultor/Cliente). Muestra features relevantes por rol.","Hero→Use Case Tabs→Features Generales→Pricing→CTA","CTA personalizado por segmento. Mensaje diferente por rol","B2B con múltiples segmentos o roles de usuario","use case tabs segments roles personas"
minimal-waitlist,"Minimal Waitlist/Launch","Landing minimalista para producto pre-lanzamiento. Email capture. Cuenta regresiva.","Minimal Hero→Value Proposition→Email Form→Social Proof mínimo","Email capture único. CTA: Únete a la lista. Counter de interesados","Pre-launch productos en beta waitlist","minimal waitlist launch pre-launch email capture"
long-form-content,"Long-form Content Landing","Landing larga con mucho contenido educativo. Para productos complejos que necesitan educación.","Hero→Problema detallado→Educación→Solución→Features→Proof→Pricing→FAQ→CTA","CTA repetido cada 3-4 secciones. Sticky header con CTA","Productos B2B complejos compliance finanzas legal","long form content education complex b2b"
roi-calculator,"ROI Calculator Landing","Calculadora de ROI interactiva para demostrar valor económico del producto.","Hero→ROI Calculator interactivo→How It Works→Testimonials→Pricing→CTA","CTA después de que user vio su ROI personalizado","B2B enterprise con alto costo y ROI demostrable","roi calculator interactive value demo b2b"
industry-specific,"Industry Vertical Landing","Landing personalizada por industria/vertical. Copy y features específicos del sector.","Hero (industria)→Pain Points sector→Features relevantes→Casos sector→CTA","CTA con terminología del sector específico","B2B con múltiples verticals (compliance para IMMEX vs OEA)","industry vertical specific sector landing"
trust-compliance,"Trust & Compliance Landing","Para productos en sectores regulados. Certifications security badges compliance logos.","Hero→Trust Signals→Security/Compliance Badges→Features→Pricing→CTA","CTA con garantías: Datos seguros ISO27001 etc","Compliance legal fintech healthcare regulado","trust compliance security badges certifications"
free-trial-funnel,"Free Trial Funnel","Optimizado para convertir a trial gratuito. Fricción mínima. Sin tarjeta de crédito. Valor inmediato.","Hero (trial)→Quick Win Features→How to Start→Pricing (trial)→CTA","CTA: Empieza Gratis 14 días. Repetir en sticky. Sin CC requerido","SaaS con free trial como principal conversion path","free trial funnel conversion minimal friction"
demo-request,"Demo Request Landing","Para enterprise B2B donde el trial no es el paso inicial. Formulario de solicitud de demo.","Hero enterprise→Pain Points→Features→Customer Logos→Demo Form","Form de contacto prominente. CTA: Solicitar Demo. Trust signals alrededor","Enterprise B2B alto ticket compliance ERP CRM","demo request enterprise high ticket b2b"
localized-mexico,"Landing Localizada México","Landing en español mexicano. Términos locales IMMEX SAT PROSEC RFC. Confianza local.","Hero en español→Casos Éxito México→Features relevantes MX→Precios MX→CTA","CTA en español: Prueba Gratis / Solicitar Demo. Precios en MXN","SaaS para mercado mexicano comercio exterior compliance","landing mexico español local inmex sat prosec rfc"
email-capture-lead,"Email Capture Lead Gen","Simple página para capturar emails a cambio de lead magnet (ebook checklist template).","Hero con oferta→Beneficios del recurso→Formulario simple→Social Proof","Un único CTA: Descargar Gratis / Obtener Acceso. Email únicamente","Lead generation content marketing recursos gratuitos","email capture lead magnet ebook checklist"
